# Days,SPA168 (Left side of Basin1)
2739,27.20000076
2740,27.18000031
2741,27.14999962
2742,27.12000084
2743,27.07999992
2744,27.04999924
2745,27.02000046
2746,27
2747,27.13999939
2748,27.01000023
2749,26.98999977
2750,26.98999977
2751,26.97999954
2752,26.97999954
2753,26.97999954
2754,26.98999977
2755,26.98999977
2756,26.98999977
2757,26.97999954
2758,26.97999954
2759,26.97999954
2760,26.97999954
2761,26.96999931
2762,26.96999931
2763,26.96999931
2764,26.95999908
2765,26.97999954
2766,26.97999954
2767,26.96999931
2768,26.96999931
2769,26.96999931
2770,26.96999931
2771,26.98999977
2772,26.96999931
2773,26.95999908
2774,26.95000076
2775,26.95000076
2776,26.95000076
2777,26.95000076
2778,26.94000053
2779,26.94000053
2780,26.94000053
2781,27.05999947
2782,27.11000061
2783,27.13999939
2784,27.15999985
2785,27.18000031
2786,27.19000053
2787,27.20000076
2788,27.21999931
2789,27.21999931
2790,27.23999977
2791,27.26000023
2792,27.28000069
2793,27.29999924
2794,27.30999947
2795,27.31999969
2796,27.29000092
2797,27.27000046
2798,27.23999977
2799,27.21999931
2800,27.07999992
2801,27.03000069
2802,26.98999977
2803,26.95999908
2804,26.93000031
2805,26.89999962
2806,26.87999916
2807,26.86000061
2808,26.85000038
2809,26.82999992
2810,26.81999969
2811,26.80999947
2812,26.79999924
2813,26.79000092
2814,26.78000069
2815,26.76000023
2816,26.75
2817,26.73999977
2818,26.72999954
2819,26.72999954
2820,26.71999931
2821,26.70999908
2822,26.70999908
2823,26.70000076
2824,26.70000076
2825,26.70000076
2826,26.69000053
2827,26.69000053
2828,26.69000053
2829,26.69000053
2830,26.68000031
2831,26.68000031
2832,26.67000008
2833,26.67000008
2834,26.67000008
2835,26.67000008
2836,26.67000008
2837,26.67000008
2838,26.67000008
2839,26.67000008
2840,26.65999985
2841,26.65999985
2842,26.67000008
2843,26.67000008
2844,26.65999985
2845,26.65999985
2846,26.67000008
2847,26.67000008
2848,26.65999985
2849,26.65999985
2850,26.65999985
2851,26.65999985
2852,26.67000008
2853,26.65999985
2854,26.67000008
2855,26.65999985
2856,26.65999985
2857,26.67000008
2858,26.67000008
2859,26.65999985
2860,26.65999985
2861,26.65999985
2862,26.65999985
2863,26.64999962
2864,26.64999962
2865,26.64999962
2866,26.65999985
2867,26.63999939
2868,26.63999939
2869,26.63999939
2870,26.63999939
2871,26.62999916
2872,26.62000084
2873,26.61000061
2874,26.60000038
2875,26.60000038
2876,26.59000015
2877,26.59000015
2878,26.57999992
2879,26.57999992
2880,26.57999992
2881,26.56999969
2882,26.56999969
2883,26.56999969
2884,26.56999969
2885,26.56999969
2886,26.56999969
2887,26.56999969
2888,26.57999992
2889,26.57999992
2890,26.57999992
2891,26.57999992
2892,26.60000038
2893,26.62999916
2894,26.65999985
2895,26.67000008
2896,26.69000053
2897,26.70000076
2898,26.71999931
2899,26.71999931
2900,26.71999931
2901,26.71999931
2902,26.71999931
2903,26.71999931
2904,26.72999954
2905,26.72999954
2906,26.70999908
2907,26.70000076
2908,26.71999931
2909,26.75
2910,26.76000023
2911,26.79000092
2912,26.79999924
2913,26.79999924
2914,26.81999969
2915,26.85000038
2916,26.86000061
2917,26.87999916
2918,26.89999962
2919,26.92000008
2920,26.80999947
2921,26.78000069
2922,26.77000046
2923,26.77000046
2924,26.77000046
2925,26.77000046
2926,26.84000015
2927,26.84000015
2928,26.82999992
2929,26.80999947
2930,26.82999992
2931,26.80999947
2932,26.80999947
2933,26.80999947
2934,26.79999924
2935,26.80999947
2936,26.78999901
2937,26.78000069
2938,26.78999901
2939,26.79999924
2940,26.81999969
2941,26.81999969
2942,26.81999969
2943,26.82999992
2944,26.84000015
2945,26.86000061
2946,26.87999916
2947,26.87000084
2948,26.85000038
2949,26.82999992
2950,26.81999969
2951,26.82999992
2952,26.85000038
2953,26.86000061
2954,26.86000061
2955,26.86000061
2956,26.85000038
2957,26.85000038
2958,26.86000061
2959,26.87000084
2960,26.87999916
2961,26.88999939
2962,26.86000061
2963,26.81999969
2964,26.80999947
2965,26.78999901
2966,26.78000069
2967,26.78000069
2968,26.78000069
2969,26.77000046
2970,26.77000046
2971,26.77000046
2972,26.76000023
2973,26.75
2974,26.75
2975,26.76000023
2976,26.77000046
2977,26.78000069
2978,26.78999901
2979,26.79999924
2980,26.78999901
2981,26.78000069
2982,26.77000046
2983,26.77000046
2984,26.77000046
2985,26.78000069
2986,26.78999901
2987,26.78999901
2988,26.78999901
2989,26.79999924
2990,26.78999901
2991,26.77000046
2992,26.77000046
2993,26.77000046
2994,26.76000023
2995,26.75
2996,26.73999977
2997,26.72999954
2998,26.84000015
2999,26.77000046
3000,26.73999977
3001,26.72999954
3002,26.71999931
3003,26.71999931
3004,26.84000015
3005,26.87999916
3006,26.90999985
3007,26.93000031
3008,26.95000076
3009,26.95000076
3010,26.95999908
3011,26.96999931
3012,26.84000015
3013,26.81999969
3014,26.81999969
3015,26.81999969
3016,26.82999992
3017,26.82999992
3018,26.84000015
3019,26.84000015
3020,26.85000038
3021,26.82999992
3022,26.81999969
3023,26.81999969
3024,26.85000038
3025,26.82999992
3026,26.82999992
3027,26.84000015
3028,26.85000038
3029,26.86000061
3030,26.85000038
3031,26.86000061
3032,26.86000061
3033,26.85000038
3034,26.96999931
3035,27.01000023
3036,27.03999901
3037,27.06999969
3038,27.07999992
3039,27.10000038
3040,27.11000061
3041,27.12000084
3042,27.09000015
3043,27.07999992
3044,27.07999992
3045,27.09000015
3046,27.07999992
3047,27.07999992
3048,27.06999969
3049,27.09000015
3050,27.10000038
3051,27.11000061
3052,27.11000061
3053,27.12000084
3054,27.12000084
3055,27.12999916
3056,27.13999939
3057,27.14999962
3058,27.15999985
3059,27.17000008
3060,27.18000031
3061,27.19000053
3062,27.20000076
3063,27.20999908
3064,27.21999931
3065,27.23999977
3066,27.25
3067,27.26000023
3068,27.27000046
3069,27.29999924
3070,27.29999924
3071,27.30999947
3072,27.31999969
3073,27.32999992
3074,27.34000015
3075,27.36000061
3076,27.37000084
3077,27.37999916
3078,27.39999962
3079,27.40999985
3080,27.42000008
3081,27.76000023
3082,27.93000031
3083,28.11000061
3084,28.25
3085,28.38999939
3086,28.5
3087,28.61000061
3088,28.70999908
3089,28.73999977
3090,28.71999931
3091,28.77000046
3092,28.84000015
3093,28.89999962
3094,28.95999908
3095,28.95000076
3096,28.89999962
3097,28.93000031
3098,29
3099,29.04999924
3100,29.06999969
3101,29.05999947
3102,29.09000015
3103,29.05999947
3104,29.03000069
3105,29.03999901
3106,29.05999947
3107,29.02000046
3108,29.03000069
3109,29.03999901
3110,29.06999969
3111,29.10000038
3112,29.12000084
3113,29.14999962
3114,29.18000031
3115,29.20000076
3116,29.19000053
3117,29.03999901
3118,28.89999962
3119,28.90999985
3120,28.85000038
3121,28.76000023
3122,28.67000008
3123,28.60000038
3124,28.54999924
3125,28.51000023
3126,28.48999977
3127,28.45999908
3128,28.43000031
3129,28.42000008
3130,28.40999985
3131,28.38999939
3132,28.38999939
3133,28.37000084
3134,28.35000038
3135,28.34000015
3136,28.31999969
3137,28.30999947
3138,28.30999947
3139,28.30999947
3140,28.29999924
3141,28.28999901
3142,28.28000069
3143,28.28000069
3144,28.27000046
3145,28.28000069
3146,28.26000023
3147,28.25
3148,28.25
3149,28.25
3150,28.25
3151,28.27000046
3152,28.28999901
3153,28.27000046
3154,28.21999931
3155,28.19000053
3156,28.14999962
3157,28.12999916
3158,28.12000084
3159,28.11000061
3160,28.09000015
3161,28.01000023
3162,27.94000053
3163,27.89999962
3164,27.86000061
3165,27.82999992
3166,27.80999947
3167,27.94000053
3168,27.80999947
3169,27.88999939
3170,27.78999901
3171,27.86000061
3172,27.78999901
3173,27.76000023
3174,27.78999901
3175,27.73999977
3176,27.71999931
3177,27.70999908
3178,27.76000023
3179,27.79999924
3180,27.79999924
3181,27.77000046
3182,27.88999939
3183,27.93000031
3184,27.96999931
3185,27.98999977
3186,28.01000023
3187,28.10000038
3188,28.14999962
3189,28.09000015
3190,28.09000015
3191,28.09000015
3192,28.11000061
3193,28.12999916
3194,28.13999939
3195,28.15999985
3196,28.17000008
3197,28.20000076
3198,28.53000069
3199,28.43000031
3200,28.34000015
3201,28.34000015
3202,28.28999901
3203,28.34000015
3204,28.37000084
3205,28.37999916
3206,28.42000008
3207,28.45999908
3208,28.48999977
3209,28.53999901
3210,28.56999969
3211,28.60000038
3212,28.62000084
3213,28.64999962
3214,28.69000053
3215,28.76000023
3216,28.81999969
3217,28.52000046
3218,28.40999985
3219,28.34000015
3220,28.27000046
3221,28.20000076
3222,28.04999924
3223,27.98999977
3224,27.94000053
3225,27.90999985
3226,27.88999939
3227,27.87000084
3228,27.72999954
3229,27.69000053
3230,27.57999992
3231,27.53000069
3232,27.45999908
3233,27.40999985
3234,27.37000084
3235,27.32999992
3236,27.30999947
3237,27.30999947
3238,27.28999901
3239,27.26000023
3240,27.21999931
3241,27.20000076
3242,27.18000031
3243,27.13999939
3244,27.05999947
3245,27.01000023
3246,26.96999931
3247,26.94000053
3248,26.90999985
3249,26.87000084
3250,26.85000038
3251,26.81999969
3252,26.82999992
3253,26.82999992
3261,26.94000053
3262,26.95000076
3263,26.92000008
3264,26.93000031
3265,26.94000053
3266,26.94000053
3267,26.95000076
3268,26.95000076
3269,26.94000053
3270,26.92000008
3271,26.92000008
3272,26.96999931
3273,26.98999977
3274,27.02000046
3275,27.03999901
3276,27.06999969
3277,27.06999969
3278,27.07999992
3279,27.09000015
3280,27.06999969
3281,27.06999969
3282,27.07999992
3283,27.09000015
3284,27.11000061
3285,27.14999962
3286,27.21999931
3287,27.23999977
3288,27.28000069
3289,27.31999969
3290,27.37000084
3291,27.39999962
3292,27.31999969
3293,27.30999947
3294,27.32999992
3295,27.39999962
