nweek,T,days
2.000000000000000000e+00,1.309999999999999964e+01,1.500000000000000000e+01
3.000000000000000000e+00,1.330000000000000071e+01,2.200000000000000000e+01
4.000000000000000000e+00,1.380000000000000071e+01,2.900000000000000000e+01
5.000000000000000000e+00,1.480000000000000071e+01,3.600000000000000000e+01
7.000000000000000000e+00,1.369999999999999929e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.390000000000000036e+01,6.400000000000000000e+01
9.000000000000000000e+00,1.380000000000000071e+01,6.400000000000000000e+01
1.100000000000000000e+01,1.550000000000000000e+01,7.800000000000000000e+01
1.200000000000000000e+01,1.480000000000000071e+01,8.500000000000000000e+01
1.400000000000000000e+01,1.459999999999999964e+01,9.900000000000000000e+01
1.500000000000000000e+01,1.540000000000000036e+01,1.060000000000000000e+02
1.600000000000000000e+01,1.610000000000000142e+01,1.130000000000000000e+02
1.700000000000000000e+01,1.669999999999999929e+01,1.200000000000000000e+02
1.900000000000000000e+01,1.500000000000000000e+01,1.340000000000000000e+02
2.000000000000000000e+01,1.689999999999999858e+01,1.410000000000000000e+02
2.300000000000000000e+01,1.600000000000000000e+01,1.620000000000000000e+02
2.400000000000000000e+01,1.600000000000000000e+01,1.690000000000000000e+02
2.500000000000000000e+01,1.540000000000000036e+01,1.760000000000000000e+02
2.600000000000000000e+01,1.530000000000000071e+01,1.830000000000000000e+02
2.700000000000000000e+01,1.519999999999999929e+01,1.900000000000000000e+02
2.900000000000000000e+01,1.480000000000000071e+01,2.040000000000000000e+02
3.000000000000000000e+01,1.500000000000000000e+01,2.110000000000000000e+02
3.000000000000000000e+01,1.469999999999999929e+01,2.110000000000000000e+02
3.100000000000000000e+01,1.480000000000000071e+01,2.180000000000000000e+02
3.200000000000000000e+01,1.469999999999999929e+01,2.250000000000000000e+02
3.500000000000000000e+01,1.469999999999999929e+01,2.460000000000000000e+02
3.500000000000000000e+01,1.509999999999999964e+01,2.460000000000000000e+02
3.700000000000000000e+01,1.350000000000000000e+01,2.600000000000000000e+02
3.900000000000000000e+01,1.409999999999999964e+01,2.740000000000000000e+02
4.000000000000000000e+01,1.390000000000000036e+01,2.810000000000000000e+02
4.100000000000000000e+01,1.355000000000000071e+01,2.880000000000000000e+02
4.200000000000000000e+01,1.340000000000000036e+01,2.950000000000000000e+02
4.300000000000000000e+01,1.269999999999999929e+01,3.020000000000000000e+02
